scorer,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,Tail,Tail,Tail,Body1,Body1,Body1,Body2,Body2,Body2,Body3,Body3,Body3,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
82,844.256,1665.83,0.9860000014305115,811.948,1668.219,0.8939999938011169,794.419,1666.461,0.925000011920929,746.349,1654.657,0.6660000085830688,743.052,1668.191,0.9990000128746033
83,829.698,1676.111,0.9929999709129333,806.461,1668.219,0.9660000205039978,789.279,1660.683,0.6499999761581421,356.586,1907.748,0.5730000138282776,743.052,1668.311,0.9990000128746033
84,829.341,1676.76,0.949999988079071,805.878,1676.271,0.7929999828338623,789.159,1660.562,0.6499999761581421,356.586,1906.705,0.8009999990463257,741.623,1668.311,1.0
85,827.734,1682.089,0.9739999771118164,804.051,1676.785,0.9419999718666077,788.797,1660.479,0.33500000834465027,349.466,1906.705,0.8450000286102295,740.953,1668.311,1.0
86,813.482,1685.684,0.9399999976158142,803.435,1676.874,0.6380000114440918,779.879,1659.908,0.19699999690055847,349.466,1906.484,0.746999979019165,740.698,1668.311,1.0
87,813.099,1691.263,0.9959999918937683,796.405,1683.262,0.9089999794960022,772.429,1651.482,0.1940000057220459,349.312,1906.705,0.871999979019165,740.775,1668.574,1.0
88,813.099,1691.263,0.9959999918937683,796.405,1683.862,0.8370000123977661,772.323,1651.475,0.6019999980926514,349.466,1906.484,0.8090000152587891,740.698,1668.921,1.0
89,813.099,1691.263,0.9850000143051147,803.435,1683.862,0.9589999914169312,772.269,1651.475,0.30399999022483826,745.763,1654.379,0.6919999718666077,740.278,1668.921,1.0
90,812.993,1691.451,0.8769999742507935,803.958,1683.862,0.9810000061988831,772.323,1651.475,0.4620000123977661,746.275,1654.097,0.8989999890327454,740.106,1668.676,1.0
91,812.98,1692.226,0.8519999980926514,803.958,1683.423,0.984000027179718,772.213,1651.544,0.21199999749660492,745.763,1654.097,0.5680000185966492,739.803,1669.0,0.9990000128746033
92,812.98,1692.478,0.8849999904632568,804.201,1683.423,0.9739999771118164,772.323,1651.544,0.17900000512599945,745.886,1653.859,0.7300000190734863,738.91,1669.0,0.9990000128746033
93,812.98,1692.478,0.7730000019073486,804.251,1683.423,0.9670000076293945,772.213,1651.544,0.20900000631809235,745.886,1653.655,0.8069999814033508,738.91,1668.704,0.9959999918937683
94,812.971,1692.478,0.7620000243186951,804.251,1684.371,0.9769999980926514,764.012,1651.466,0.382999986410141,745.385,1653.144,0.9459999799728394,732.721,1668.676,0.996999979019165
95,812.971,1692.308,0.9670000076293945,803.821,1684.371,0.9269999861717224,764.012,1651.338,0.3019999861717224,745.385,1651.966,0.9900000095367432,732.704,1667.878,1.0
96,813.224,1692.152,0.7540000081062317,804.619,1684.371,0.7179999947547913,772.133,1651.338,0.3319999873638153,745.385,1651.966,0.9929999709129333,732.379,1667.878,0.9990000128746033
97,813.91,1692.032,0.6190000176429749,804.352,1684.364,0.8569999933242798,772.133,1651.338,0.8539999723434448,745.187,1651.966,0.9980000257492065,732.379,1667.878,1.0
98,813.197,1684.784,0.765999972820282,803.503,1684.047,0.9789999723434448,772.133,1651.338,0.878000020980835,745.146,1651.913,0.9980000257492065,732.379,1668.088,1.0
99,813.197,1684.601,0.8220000267028809,803.503,1683.996,0.9750000238418579,772.133,1651.443,0.7590000033378601,745.039,1651.913,0.9829999804496765,732.439,1668.088,0.9990000128746033
100,813.903,1684.076,0.9700000286102295,803.535,1683.827,0.8569999933242798,772.096,1651.443,0.8080000281333923,744.714,1651.656,0.9959999918937683,732.482,1668.206,1.0
101,813.577,1683.985,0.9750000238418579,803.535,1683.827,0.7139999866485596,772.096,1651.443,0.8339999914169312,744.714,1651.656,0.996999979019165,732.482,1668.206,1.0
