name,day,uroa_control,y_mag,trajectory_angle
152,2,0,146.75493291666663,81.31369025760475
156,2,0,1.1506774999999152,150.96271423064402
154,2,0,14.104747999999972,71.02987964411463
135,2,0,4.47171400000002,169.5075955832105
141,2,0,82.11981399999996,110.92248782580535
106,2,0,16.991405999999984,126.82390118669198
143,2,0,74.90905952500003,55.917017281662154
102,2,0,56.77729000000011,80.12893251180736
147,2,0,4.847619999999949,10.25180635220714
119,2,0,79.43185999999986,115.17232552300959
124,2,0,57.468498000000125,124.85923695097249
145,2,0,51.139385999999945,81.80465834467317
107,2,0,1.276329999999973,10.656684731276533
140,2,0,9.35895650000009,13.418474430126661
160,2,0,12.055759999999964,97.49549226457789
118,2,0,4.796180000000021,166.72840100038496
127,2,0,117.20030066666664,63.898332938934324
119,5,0,3.598885999999993,120.18686616636727
