Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2662.0,670.2005,864.39545,0.35804155,643.27594,896.95264,0.5884694,633.85706,935.05756,0.6088568,637.9098,994.6352,0.48923975,629.26685,1038.585,0.50461596,,0,,,
2663.0,673.25494,858.1671,0.46167934,642.2668,884.20776,0.60462445,629.7295,934.34735,0.5554213,635.252,995.1633,0.44857815,623.06464,1047.7797,0.49785364,,0,,,
2664.0,675.185,860.02875,0.34657666,641.65076,882.99084,0.6793225,628.89465,933.5895,0.54324126,631.1135,998.94916,0.32148,617.52356,1054.6229,0.38199157,,0,,,
2665.0,663.1247,861.8949,0.37246758,639.8014,892.5266,0.72532004,628.9216,936.5253,0.50428224,626.60583,1007.08636,0.41512018,614.3745,1058.6743,0.39026594,,0,,,
2666.0,649.9712,863.3834,0.40704912,638.57996,897.6166,0.6843042,628.92847,939.65186,0.50378877,622.02313,1006.9835,0.5050591,611.31757,1058.3385,0.5160105,,0,,,
2667.0,262.87466,1757.1376,0.26107773,634.8316,920.5166,0.35202274,625.8104,949.69556,0.4786009,615.6341,997.62335,0.37805915,608.11755,1061.9972,0.42535898,,0,,,
2668.0,650.1807,902.4893,0.49701557,629.1918,933.96265,0.62049603,613.7878,963.1067,0.5477312,611.0704,1003.30853,0.3280185,607.3617,1065.4387,0.39521453,,0,,,
2669.0,658.36285,900.06506,0.9123455,625.83905,932.2012,0.5790868,610.20734,964.45074,0.55268633,609.0191,1013.0158,0.42421514,606.6889,1065.3027,0.38109982,,0,,,
2670.0,664.736,900.10376,0.7684258,620.9293,939.593,0.5611071,609.1585,966.6829,0.6073819,605.5738,1022.326,0.48428926,604.1586,1074.889,0.36085072,,0,,,
2671.0,668.63275,897.16565,0.75452733,613.4077,946.0454,0.6168772,606.3593,968.82043,0.5700821,603.7121,1024.221,0.5273061,602.27826,1071.679,0.42720842,,0,,,
2672.0,675.9376,899.06537,0.67208606,615.80365,944.4128,0.6333858,602.6987,967.44617,0.5834241,600.3938,1021.36096,0.44415778,594.21515,1075.874,0.44051012,,0,,,
2673.0,677.48065,901.2885,0.67979205,612.99316,942.4244,0.5238181,599.9488,968.5288,0.5463536,597.8415,1023.74133,0.43830547,591.6923,1075.922,0.40850207,,0,,,
2674.0,675.3623,902.18726,0.7175187,616.4344,940.08417,0.4672089,596.7733,979.37976,0.5158736,596.6313,1026.268,0.3962837,590.33606,1076.4694,0.38249448,,0,,,
2675.0,670.6397,902.3776,0.71878767,615.469,940.173,0.53923166,594.46576,979.1267,0.6095899,594.66675,1027.6222,0.39723963,589.14954,1079.8466,0.36467093,,0,,,
2676.0,665.2248,917.16656,0.6088871,607.4346,945.0651,0.6798304,591.0316,978.97943,0.6307858,593.1223,1037.9756,0.4077052,579.3925,1086.0312,0.1871723,,0,,,
2677.0,647.29205,937.8065,0.7606987,599.2396,953.48615,0.82468235,589.268,990.1905,0.63086385,589.3012,1040.5502,0.4535872,556.7359,1103.1375,0.47532684,,0,,,
2678.0,619.5502,944.88574,0.2520281,596.75574,967.20667,0.5010755,592.8547,1000.3291,0.61284554,589.729,1044.3774,0.46663794,550.8614,1113.1365,0.43588927,,0,,,
2679.0,572.599,933.2089,0.28698137,593.266,951.79395,0.38216546,598.4676,997.8113,0.4212575,590.7481,1037.2356,0.46495783,539.722,1126.2634,0.40198106,,0,,,
2680.0,568.4217,933.7288,0.24074976,599.91296,955.9039,0.45989594,601.27466,999.5616,0.53177696,579.57404,1072.7872,0.5110141,533.99005,1136.229,0.4136428,,0,,,
2681.0,264.72638,1758.4475,0.24255913,605.4802,957.708,0.4141244,605.9364,1000.4216,0.5813953,579.50195,1062.2168,0.5071143,528.3196,1144.1039,0.40471607,,0,,,
2682.0,264.70813,1757.0801,0.24522217,611.95245,964.2497,0.32870227,605.97943,1011.21014,0.5645455,564.4928,1087.9884,0.49757138,518.38605,1160.344,0.46443072,,0,,,
2683.0,611.2008,943.4435,0.43280834,612.58875,972.93036,0.5044251,600.2747,1017.5778,0.5340077,562.00024,1092.3645,0.49519905,516.2925,1163.9424,0.4344659,,0,,,
2684.0,618.1766,940.6126,0.49648726,615.6896,986.8343,0.55001265,591.13153,1027.6464,0.6500545,552.92584,1107.3176,0.5579645,514.7707,1170.4685,0.46980482,,0,,,
2685.0,628.9921,944.8928,0.7292004,613.64026,983.2825,0.42140454,587.64954,1032.2144,0.50984627,549.337,1109.6615,0.4734705,511.80377,1176.5908,0.49536175,,0,,,
2686.0,631.4666,944.01227,0.68598133,605.73663,1002.1315,0.5080919,577.2572,1042.8031,0.5929136,543.6279,1121.2874,0.46728042,500.7751,1188.94,0.4932157,,0,,,
2687.0,633.74207,945.4394,0.74908334,603.214,1011.39056,0.69424677,573.2551,1052.4202,0.590655,539.66077,1123.0273,0.5061214,502.31653,1189.9075,0.48306718,,0,,,
2688.0,637.117,942.2512,0.8369388,600.57855,1011.0483,0.58340156,567.7278,1056.065,0.6517645,536.5493,1124.2933,0.46108586,502.48477,1190.2898,0.5178563,,0,,,
2689.0,647.79114,947.0577,0.6759511,596.7049,1014.7007,0.5487806,565.39905,1057.4769,0.6376814,534.0102,1125.8219,0.4745334,501.87033,1189.8241,0.55089664,,0,,,
2690.0,651.46014,959.3322,0.7815135,594.49304,1017.89703,0.5889064,562.04,1057.05,0.6512806,533.04034,1125.112,0.44306684,502.06787,1188.2305,0.53760093,,0,,,
