Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2881.0,356.6435,994.82825,0.4252698,283.24646,980.9171,0.3276372,332.15985,822.0757,0.2684482,310.13785,846.19794,0.42967927,349.0237,804.5046,0.61101836,,0,,,
2882.0,342.65652,1004.86334,0.3281537,282.13538,987.0481,0.45211467,326.6719,825.7047,0.23300622,305.3244,851.4051,0.45103234,350.42413,805.39935,0.6896573,,0,,,
2883.0,330.6959,1020.41376,0.441241,280.94672,983.6241,0.4715202,332.48953,825.29956,0.26174998,303.60492,849.38556,0.5703331,353.2372,805.55273,0.705996,,0,,,
2884.0,332.25366,1015.2646,0.52985656,272.73654,961.1796,0.3018404,332.00842,828.225,0.3347896,300.52835,848.78314,0.59168595,355.41672,806.36066,0.6343186,,0,,,
2885.0,339.22083,992.86053,0.5201066,286.52487,973.082,0.22721621,331.18146,829.45776,0.32884404,300.1815,851.20337,0.6328974,359.85837,807.7149,0.5630418,,0,,,
2886.0,317.74783,972.1134,0.17855394,250.25526,952.6839,0.24613044,329.75952,831.9482,0.33447018,299.75818,851.1743,0.6354395,363.0318,808.93384,0.6972706,,0,,,
2887.0,294.3932,986.3195,0.34438205,229.91344,925.20337,0.14017455,330.53314,832.0976,0.35154313,303.06595,848.9177,0.6075744,364.78537,811.2548,0.7466239,,0,,,
2888.0,260.9665,1755.4868,0.1854479,257.58273,962.7827,0.2076319,243.90791,896.64294,0.4426013,297.50015,850.6617,0.6041135,365.03897,810.9916,0.73891306,,0,,,
2889.0,261.1999,1756.6691,0.16911672,207.03226,938.38586,0.2581497,245.23346,890.43835,0.49730593,297.12622,848.705,0.6388702,365.5278,810.32916,0.7588559,,0,,,
2890.0,261.9877,1757.1512,0.20828106,188.67899,961.6043,0.2763828,244.54105,888.52783,0.49783552,297.26132,847.79315,0.63608843,365.9354,809.97754,0.7743499,,0,,,
2891.0,188.22134,1013.8635,0.18848684,192.0243,944.2902,0.3679684,244.40428,885.955,0.49226528,297.1952,846.2618,0.561858,366.29114,810.01953,0.78830314,,0,,,
2892.0,171.92867,1022.4889,0.37966353,187.34691,943.1627,0.44467565,239.35562,888.4476,0.47678083,296.768,843.86725,0.58485466,365.91116,810.1036,0.7603572,,0,,,
2893.0,160.35796,1025.2043,0.34425583,181.66948,940.20276,0.46780753,238.31926,885.5093,0.4807218,297.4621,842.4477,0.6164955,364.2453,810.27594,0.7448945,,0,,,
2894.0,136.68028,1033.466,0.24007903,179.91666,940.13196,0.45355004,236.45529,882.9132,0.51037943,295.00638,843.3335,0.5883748,359.02725,810.48035,0.74874306,,0,,,
2895.0,107.97661,1031.6527,0.2874751,176.78748,940.1395,0.4739428,232.34532,884.97473,0.5320377,291.9724,844.67017,0.52547294,354.97766,812.19135,0.80768394,,0,,,
