day,uroa_control,start_y_from_led,trajectory_angle,y_mag,y_up
4,0,-240.62297,93.31981757191299,44.117568500000004,79.83193277310924
4,0,-191.40906,360.0,0.0,0.0
4,0,-291.69037,155.960826568964,34.355526,63.63636363636363
4,0,-143.35878,2.1181221498742584,0.02182999999996582,0.8333333333333334
4,0,-246.28665,90.58045297096962,112.00072499999999,31.333333333333332
4,0,-237.73747,99.12698126743189,37.01413000000002,89.16666666666667
4,0,-237.83537,89.22778309086041,95.02413799999994,75.83333333333333
4,0,-272.31863,360.0,0.0,0.0
4,0,-175.49756,78.25700512319173,63.48414200000002,99.04761904761905
4,0,-256.8812,64.51804083875875,7.376516000000038,85.0
3,0,-313.50302,77.42443004870836,208.1863673333333,99.16666666666667
3,0,-285.32568,84.48008048031268,306.8822850000001,95.83333333333333
3,0,-225.10535,109.30391246437613,4.23143199999987,95.83333333333333
3,0,-232.16174,22.87088317261294,13.754167999999993,36.666666666666664
3,0,-314.44507,101.76136269443334,87.91722399999998,84.16666666666667
3,0,-286.39215,43.52141351700122,112.33613800000006,41.666666666666664
3,0,-283.0227,51.837922002463834,31.719105999999897,93.33333333333333
3,0,-265.0605,71.34542115236897,13.589530000000025,90.83333333333333
3,0,-209.96378,158.69045690714438,11.602698000000032,44.827586206896555
3,0,-186.40776,57.18133647123536,57.426229333333254,90.67796610169492
3,0,-216.48486,61.01218694523482,39.181227999999976,90.83333333333333
3,0,-86.21852,79.5654165147418,7.272534000000036,97.5
3,0,-224.52391,82.94933978215562,121.25047,96.66666666666667
3,0,-267.5218,43.77650898990857,28.001431999999966,90.75630252100841
3,0,-312.16486,133.19757762104882,20.407210000000077,99.16666666666667
3,0,-224.42961,147.6533475444715,22.533522000000062,18.333333333333332
3,0,-249.61601,57.78160494950661,28.427961999999923,99.15966386554622
3,0,-220.24419,360.0,0.0,0.0
3,0,-320.72852,20.48203072892815,0.5027519999999868,4.166666666666667
3,0,-278.28247,93.86394305639828,29.060887999999977,74.16666666666667
3,0,-309.98157,46.47796432451571,31.89950399999998,84.66666666666667
3,0,-308.04395,107.84789058227915,0.7342839999999455,22.31404958677686
3,0,-271.3474,112.40908658677365,61.52675400000004,86.66666666666667
2,0,-337.20917,45.048663813667496,1.2054819999999609,98.31932773109244
2,0,-354.26572,67.14428560654723,131.36907733333345,60.0
2,0,-252.15376,72.10817366510861,40.25794500000001,60.833333333333336
2,0,-217.59265,60.34892659128022,62.73211599999996,99.16666666666667
2,0,-194.33113,84.64921479619268,87.27177799999998,96.66666666666667
2,0,-232.62042,60.69383297576144,107.13774699999993,10.084033613445378
2,0,-229.17052,129.75876967040475,5.47143600000004,7.5
2,0,-155.85732,81.31369025760475,146.75493291666663,23.333333333333332
2,0,-402.40927,150.96271423064402,1.1506774999999152,87.39495798319328
2,0,-131.15367,71.02987964411463,14.104747999999972,44.166666666666664
2,0,-236.12811,169.5075955832105,4.47171400000002,3.896103896103896
2,0,-280.9057,110.92248782580535,82.11981399999996,71.66666666666667
2,0,-242.50984,126.82390118669198,16.991405999999984,99.16666666666667
2,0,-72.98755,55.917017281662154,74.90905952500003,44.166666666666664
2,0,-333.88934,80.12893251180736,56.77729000000011,36.666666666666664
2,0,-247.2355,10.25180635220714,4.847619999999949,5.833333333333333
2,0,-301.40698,115.17232552300959,79.43185999999986,90.83333333333333
2,0,-250.68799,124.85923695097249,57.468498000000125,95.7983193277311
2,0,-217.74658,81.80465834467317,51.139385999999945,98.33333333333333
2,0,-214.94786,10.656684731276533,1.276329999999973,12.5
2,0,-230.84018,13.418474430126661,9.35895650000009,11.403508771929825
2,0,-384.5915,97.49549226457789,12.055759999999964,98.66666666666667
2,0,-81.97795,166.72840100038496,4.796180000000021,69.16666666666667
2,0,-196.69893,63.898332938934324,117.20030066666664,99.16666666666667
5,0,-151.74712,120.18686616636727,3.598885999999993,12.605042016806722
